instansi,tanggal,komponen,golda,jumlah
RSU. DR. M. Djamil,02-01-2020,WE,O,2
RSU. DR. M. Djamil,14-08-2020,TC,O,3
RSU. DR. M. Djamil,26-10-2020,PRC,A,1
RSU. DR. M. Djamil,12-01-2021,PRC,AB,1
RSU. DR. M. Djamil,13-03-2021,WB,O,2
RSU. DR. M. Djamil,11-07-2021,PRC,O,2
RSU. DR. M. Djamil,14-09-2021,PRC,B,1
RSU. DR. M. Djamil,11-11-2021,PRC,B,2
RSU. DR. M. Djamil,03-01-2022,PRC,AB,2
RSU. DR. M. Djamil,18-04-2022,TC,B,5
RSU. DR. M. Djamil,13-06-2022,PRC,O,2
RSU. DR. M. Djamil,03-08-2022,PRC,O,1
RSU. DR. M. Djamil,25-09-2022,PRC,B,2
RSU. DR. M. Djamil,15-11-2022,PRC,A,1
RSU. DR. M. Djamil,04-01-2023,PRC,O,2
RSU. DR. M. Djamil,11-04-2023,TC,AB,10
RSU. DR. M. Djamil,29-05-2023,PRC,A,1
RSU. DR. M. Djamil,19-07-2023,PRC,B,1
RSU. DR. M. Djamil,22-10-2023,PRC,O,1
RSU. DR. M. Djamil,02-03-2020,TC,O,5
RSU. DR. M. Djamil,21-05-2020,PRC,B,1
RSU. DR. M. Djamil,09-10-2020,WE,AB,2
RSU. DR. M. Djamil,28-12-2020,PRC,O,2
RSU. DR. M. Djamil,01-03-2021,FFP,O,5
RSU. DR. M. Djamil,27-04-2021,PRC,O,1
RSU. DR. M. Djamil,02-09-2021,PRC,O,2
RSU. DR. M. Djamil,31-10-2021,PRC,O,2
RSU. DR. M. Djamil,22-12-2021,PRC,A,1
RSU. DR. M. Djamil,10-02-2022,PRC,A,2
RSU. DR. M. Djamil,07-04-2022,FFP,B,1
RSU. DR. M. Djamil,02-06-2022,TC,O,5
RSU. DR. M. Djamil,24-07-2022,TC,B,1
RSU. DR. M. Djamil,04-11-2022,PRC,AB,2
RSU. DR. M. Djamil,25-12-2022,TC,AB,5
RSU. DR. M. Djamil,01-04-2023,PRC,O,1
RSU. DR. M. Djamil,19-05-2023,WB,B,1
RSU. DR. M. Djamil,25-08-2023,PRC,O,1
RSU. DR. M. Djamil,12-10-2023,PRC,O,2
RSU. DR. M. Djamil,09-02-2020,PRC,B,4
RSU. DR. M. Djamil,20-02-2020,PRC,A,2
RSU. DR. M. Djamil,21-07-2020,WB,A,2
RSU. DR. M. Djamil,11-12-2020,PRC,O,2
RSU. DR. M. Djamil,17-02-2021,PRC,B,2
RSU. DR. M. Djamil,15-04-2021,PRC,B,2
RSU. DR. M. Djamil,17-06-2021,AHF,O,4
RSU. DR. M. Djamil,23-08-2021,PRC,A,1
RSU. DR. M. Djamil,19-10-2021,PRC,A,1
RSU. DR. M. Djamil,12-12-2021,PRC,B,1
RSU. DR. M. Djamil,22-05-2022,TC,B,5
RSU. DR. M. Djamil,14-07-2022,PRC,B,1
RSU. DR. M. Djamil,04-09-2022,PRC,O,1
RSU. DR. M. Djamil,24-10-2022,PRC,O,1
RSU. DR. M. Djamil,15-12-2022,PRC,B,1
RSU. DR. M. Djamil,02-02-2023,PRC,O,2
RSU. DR. M. Djamil,23-03-2023,PRC,A,1
RSU. DR. M. Djamil,28-06-2023,PRC,B,2
RSU. DR. M. Djamil,16-08-2023,PRC,A,1
RSU. DR. M. Djamil,14-04-2020,PRC,A,2
RSU. DR. M. Djamil,09-07-2020,PRC,AB,3
RSU. DR. M. Djamil,09-09-2020,PRC,B,2
RSU. DR. M. Djamil,05-04-2021,FFP,O,2
RSU. DR. M. Djamil,05-06-2021,FFP,O,1
RSU. DR. M. Djamil,09-08-2021,FFP,B,2
RSU. DR. M. Djamil,08-10-2021,PRC,A,2
RSU. DR. M. Djamil,21-01-2022,PRC,B,2
RSU. DR. M. Djamil,15-03-2022,PRC,B,2
RSU. DR. M. Djamil,12-05-2022,PRC,A,2
RSU. DR. M. Djamil,04-07-2022,PRC,B,1
RSU. DR. M. Djamil,25-08-2022,PRC,A,5
RSU. DR. M. Djamil,14-10-2022,PRC,A,2
RSU. DR. M. Djamil,02-12-2022,PRC,B,2
RSU. DR. M. Djamil,24-01-2023,PRC,B,2
RSU. DR. M. Djamil,13-03-2023,PRC,O,1
RSU. DR. M. Djamil,02-05-2023,PRC,O,2
RSU. DR. M. Djamil,17-06-2023,PRC,O,1
RSU. DR. M. Djamil,06-08-2023,PRC,O,1
RSU. DR. M. Djamil,22-09-2023,PRC,A,1
RSU. DR. M. Djamil,15-01-2020,FFP,A,2
RSU. DR. M. Djamil,28-03-2020,PRC,O,3
RSU. DR. M. Djamil,25-06-2020,PRC,O,2
RSU. DR. M. Djamil,26-08-2020,PRC,A,2
RSU. DR. M. Djamil,25-07-2021,PRC,A,2
RSU. DR. M. Djamil,26-09-2021,PRC,AB,1
RSU. DR. M. Djamil,21-11-2021,WB,A,2
RSU. DR. M. Djamil,13-01-2022,PRC,A,2
RSU. DR. M. Djamil,03-03-2022,PRC,O,2
RSU. DR. M. Djamil,23-06-2022,PRC,O,2
RSU. DR. M. Djamil,14-08-2022,PRC,AB,1
RSU. DR. M. Djamil,24-11-2022,PRC,A,1
RSU. DR. M. Djamil,04-03-2023,PRC,A,2
RSU. DR. M. Djamil,22-04-2023,TC Aferesis,O,1
RSU. DR. M. Djamil,28-07-2023,PRC,O,2
RSU. DR. M. Djamil,13-09-2023,PRC,A,1
RSU. DR. M. Djamil,02-01-2020,PRC,O,2
RSU. DR. M. Djamil,14-03-2020,PRC,O,2
RSU. DR. M. Djamil,27-10-2020,PRC,O,2
RSU. DR. M. Djamil,11-05-2021,FFP,B,4
RSU. DR. M. Djamil,12-07-2021,TC,A,10
RSU. DR. M. Djamil,15-09-2021,PRC,B,2
RSU. DR. M. Djamil,11-11-2021,PRC,O,2
RSU. DR. M. Djamil,03-01-2022,PRC,A,2
RSU. DR. M. Djamil,19-02-2022,PRC,B,1
RSU. DR. M. Djamil,13-06-2022,TC,O,5
RSU. DR. M. Djamil,25-09-2022,PRC,B,4
RSU. DR. M. Djamil,16-11-2022,PRC,B,1
RSU. DR. M. Djamil,05-01-2023,PRC,O,2
RSU. DR. M. Djamil,11-04-2023,PRC,O,5
RSU. DR. M. Djamil,19-07-2023,PRC,B,2
RSU. DR. M. Djamil,22-10-2023,TC Aferesis,A,1
RSU. DR. M. Djamil,10-10-2020,PRC,O,2
RSU. DR. M. Djamil,28-12-2020,TC,A,10
RSU. DR. M. Djamil,29-06-2021,AHF,A,8
RSU. DR. M. Djamil,02-09-2021,PRC,A,1
